2016-12-23 12:43:23,093 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 12:43:23,237 | ERROR | javax.jms.JMSException: Durable consumer is in use for client: jdbc:oracle:thin:@192.168.56.198:1521:pdg_GFGXDB_WM and subscriptionName: GFGXDB_WM_1.GFGX_R_SJCP_CPYXX_CPFL | com.geovis.duplex.activemq.receive.SynchronousReceive | Thread-30
2016-12-23 12:44:23,094 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 12:44:23,213 | ERROR | javax.jms.JMSException: Durable consumer is in use for client: jdbc:oracle:thin:@192.168.56.198:1521:pdg_GFGXDB_WM and subscriptionName: GFGXDB_WM_1.GFGX_R_SJCP_CPYXX_CPFL | com.geovis.duplex.activemq.receive.SynchronousReceive | Thread-32
2016-12-23 12:45:23,095 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 12:45:23,217 | ERROR | javax.jms.JMSException: Durable consumer is in use for client: jdbc:oracle:thin:@192.168.56.198:1521:pdg_GFGXDB_WM and subscriptionName: GFGXDB_WM_1.GFGX_R_SJCP_CPYXX_CPFL | com.geovis.duplex.activemq.receive.SynchronousReceive | Thread-34
2016-12-23 12:46:23,094 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 12:46:23,216 | ERROR | javax.jms.JMSException: Durable consumer is in use for client: jdbc:oracle:thin:@192.168.56.198:1521:pdg_GFGXDB_WM and subscriptionName: GFGXDB_WM_1.GFGX_R_SJCP_CPYXX_CPFL | com.geovis.duplex.activemq.receive.SynchronousReceive | Thread-36
2016-12-23 12:47:23,095 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 12:47:23,212 | ERROR | javax.jms.JMSException: Durable consumer is in use for client: jdbc:oracle:thin:@192.168.56.198:1521:pdg_GFGXDB_WM and subscriptionName: GFGXDB_WM_1.GFGX_R_SJCP_CPYXX_CPFL | com.geovis.duplex.activemq.receive.SynchronousReceive | Thread-38
2016-12-23 12:48:23,095 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 12:48:23,220 | ERROR | javax.jms.JMSException: Durable consumer is in use for client: jdbc:oracle:thin:@192.168.56.198:1521:pdg_GFGXDB_WM and subscriptionName: GFGXDB_WM_1.GFGX_R_SJCP_CPYXX_CPFL | com.geovis.duplex.activemq.receive.SynchronousReceive | Thread-40
2016-12-23 12:49:23,096 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 12:49:23,215 | ERROR | javax.jms.JMSException: Durable consumer is in use for client: jdbc:oracle:thin:@192.168.56.198:1521:pdg_GFGXDB_WM and subscriptionName: GFGXDB_WM_1.GFGX_R_SJCP_CPYXX_CPFL | com.geovis.duplex.activemq.receive.SynchronousReceive | Thread-42
2016-12-23 12:50:23,097 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 12:50:23,214 | ERROR | javax.jms.JMSException: Durable consumer is in use for client: jdbc:oracle:thin:@192.168.56.198:1521:pdg_GFGXDB_WM and subscriptionName: GFGXDB_WM_1.GFGX_R_SJCP_CPYXX_CPFL | com.geovis.duplex.activemq.receive.SynchronousReceive | Thread-44
