2017-06-12 21:07:08,399 | INFO  | Mapped URL path [/deleteSubscriber.action] onto handler [/deleteSubscriber.action] | org.apache.activemq.web.handler.BindingBeanNameUrlHandlerMapping | GFGXDB.TEST1
2017-06-12 21:07:08,399 | INFO  | Mapped URL path [/sendMessage.action] onto handler [/sendMessage.action] | org.apache.activemq.web.handler.BindingBeanNameUrlHandlerMapping | GFGXDB.TEST1
2017-06-12 21:07:08,399 | INFO  | Mapped URL path [/purgeDestination.action] onto handler [/purgeDestination.action] | org.apache.activemq.web.handler.BindingBeanNameUrlHandlerMapping | GFGXDB.TEST1
2017-06-12 21:07:08,399 | INFO  | Mapped URL path [/deleteMessage.action] onto handler [/deleteMessage.action] | org.apache.activemq.web.handler.BindingBeanNameUrlHandlerMapping | GFGXDB.TEST1
2017-06-12 21:07:08,399 | INFO  | Mapped URL path [/copyMessage.action] onto handler [/copyMessage.action] | org.apache.activemq.web.handler.BindingBeanNameUrlHandlerMapping | GFGXDB.TEST1
2017-06-12 21:07:08,399 | INFO  | Mapped URL path [/moveMessage.action] onto handler [/moveMessage.action] | org.apache.activemq.web.handler.BindingBeanNameUrlHandlerMapping | GFGXDB.TEST1
2017-06-12 21:07:08,400 | INFO  | Mapped URL path [/deleteJob.action] onto handler [/deleteJob.action] | org.apache.activemq.web.handler.BindingBeanNameUrlHandlerMapping | GFGXDB.TEST1
2017-06-12 21:07:08,400 | DEBUG | Rejected bean name 'exceptionResolver': no URL paths identified | org.apache.activemq.web.handler.BindingBeanNameUrlHandlerMapping | GFGXDB.TEST1
2017-06-12 21:07:08,400 | DEBUG | Rejected bean name 'servletConfig': no URL paths identified | org.apache.activemq.web.handler.BindingBeanNameUrlHandlerMapping | GFGXDB.TEST1
2017-06-12 21:07:08,400 | DEBUG | Rejected bean name 'messageSource': no URL paths identified | org.apache.activemq.web.handler.BindingBeanNameUrlHandlerMapping | GFGXDB.TEST1
2017-06-12 21:07:08,400 | DEBUG | Rejected bean name 'applicationEventMulticaster': no URL paths identified | org.apache.activemq.web.handler.BindingBeanNameUrlHandlerMapping | GFGXDB.TEST1
